tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
59729	Taeniopygia guttata	100230157	0	live	USP44		ubiquitin specific peptidase 44	ubiquitin carboxyl-terminal hydrolase 44		1A	NC_011463.1	44885702	44898685	minus	5		
59729	Taeniopygia guttata	100230156	0	live	GABRR2		gamma-aminobutyric acid type A receptor rho2 subunit	LOW QUALITY PROTEIN: gamma-aminobutyric acid receptor subunit rho-2		3	NC_011466.1	78029236	78059476	plus	9		
59729	Taeniopygia guttata	100230155	0	live	PHLDB1		pleckstrin homology like domain family B member 1	pleckstrin homology-like domain family B member 1		24	NC_011488.1	161807	178973	minus	24		
59729	Taeniopygia guttata	100230154	0	live	SMYD1		SET and MYND domain containing 1	histone-lysine N-methyltransferase SMYD1		4	NC_011467.1	65972982	65997835	plus	11		
59729	Taeniopygia guttata	100230152	0	live	RPIA		ribose 5-phosphate isomerase A	ribose-5-phosphate isomerase|ribose 5-phosphate isomerase A (ribose 5-phosphate epimerase)		4	NC_011467.1	66219683	66236108	plus	9		
59729	Taeniopygia guttata	100230150	0	live	JOSD1		Josephin domain containing 1	josephin-1		1A	NC_011463.1	50534620	50543474	plus	5		
59729	Taeniopygia guttata	100230147	0	live	CRTAM		cytotoxic and regulatory T-cell molecule	cytotoxic and regulatory T-cell molecule		24	NC_011488.1	3447014	3459118	plus	8		
59729	Taeniopygia guttata	100230146	0	live	HMGB1		high mobility group box 1	high mobility group protein B1		1	NC_011462.1	50216522	50222246	minus	4		
59729	Taeniopygia guttata	100230145	0	live	TIMP3		TIMP metallopeptidase inhibitor 3	metalloproteinase inhibitor 3|tissue inhibitor of metalloproteinase 3		1A	NC_011463.1	52958877	52996939	minus	5		
59729	Taeniopygia guttata	100230144	0	live	KLHL6		kelch like family member 6	kelch-like protein 6|kelch-like 6		9	NC_011473.1	2484715	2506550	plus	7		
59729	Taeniopygia guttata	100230143	0	live	NUDT15		nudix hydrolase 15	probable 8-oxo-dGTP diphosphatase NUDT15		1	NC_011462.1	56710140	56718918	minus	5		
59729	Taeniopygia guttata	100230142	0	live	SREBF2		sterol regulatory element binding transcription factor 2	sterol regulatory element-binding protein 2		1A	NC_011463.1	48932477	48952879	minus	18		
59729	Taeniopygia guttata	100230139	0	live	KBTBD3		kelch repeat and BTB domain containing 3	kelch repeat and BTB domain-containing protein 3		1	NC_011462.1	75487478	75494143	plus	3		
59729	Taeniopygia guttata	100230138	0	live	FAM83F		family with sequence similarity 83 member F	LOW QUALITY PROTEIN: protein FAM83F		1A	NC_011463.1	49827972	49859485	minus	5		
59729	Taeniopygia guttata	100230136	0	live	KIRREL3		kirre like nephrin family adhesion molecule 3	LOW QUALITY PROTEIN: kin of IRRE-like protein 3|kin of IRRE like 3		24	NC_011488.1	7646304	7750421	minus	13		
59729	Taeniopygia guttata	100230135	0	live	GCAT		glycine C-acetyltransferase	2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial		1A	NC_011463.1	50877964	50885115	minus	11		
59729	Taeniopygia guttata	100230133	0	live	GIGYF2		GRB10 interacting GYF protein 2	PERQ amino acid-rich with GYF domain-containing protein 2|glutamine rich protein		9	NC_011473.1	6903549	6968266	plus	28		
59729	Taeniopygia guttata	100230131	0	live	ALDH1L2		aldehyde dehydrogenase 1 family member L2	mitochondrial 10-formyltetrahydrofolate dehydrogenase		1A	NC_011463.1	54241007	54269298	plus	24		
59729	Taeniopygia guttata	100230130	0	live	SAPCD2		suppressor APC domain containing 2	suppressor APC domain-containing protein 2		17	NC_011481.1	108881	119934	plus	7		
59729	Taeniopygia guttata	100230129	0	live	RGS3		regulator of G protein signaling 3	regulator of G-protein signaling 3|regulator of G-protein signalling 3		17	NC_011481.1	1172360	1236052	minus	16		
59729	Taeniopygia guttata	100230128	0	live	CRYGS		crystallin gamma S	beta-crystallin S		9	NC_011473.1	5310024	5316562	plus	3		
59729	Taeniopygia guttata	100230125	0	live	CACNA1B		calcium channel, voltage-dependent, N type, alpha 1B subunit	LOW QUALITY PROTEIN: voltage-dependent N-type calcium channel subunit alpha-1B		17	NC_011481.1	2066398	2362433	plus	50		
59729	Taeniopygia guttata	100230124	0	live	QRSL1		glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1	glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial		3	NC_011466.1	70380177	70391890	minus	11		
59729	Taeniopygia guttata	100230123	0	live	PXYLP1	ACPL2	2-phosphoxylose phosphatase 1	2-phosphoxylose phosphatase 1|acid phosphatase-like 2		9	NC_011473.1	7697924	7731562	plus	5		
59729	Taeniopygia guttata	100230121	0	live	IAPP		islet amyloid polypeptide	islet amyloid polypeptide		1A	NC_011463.1	59672242	59676373	plus	6		
59729	Taeniopygia guttata	100230120	0	live	PLPP7		phospholipid phosphatase 7 (inactive)	probable lipid phosphate phosphatase PPAPDC3		17	NC_011481.1	6832006	6845949	plus	2		
59729	Taeniopygia guttata	100230119	0	live	ZNF292		zinc finger protein 292	zinc finger protein 292		3	NC_011466.1	78841719	78890959	minus	8		
59729	Taeniopygia guttata	100230118	0	live	RHBDD1		rhomboid domain containing 1	rhomboid-related protein 4		9	NC_011473.1	10464321	10484715	plus	6		
59729	Taeniopygia guttata	100230115	0	live	SLC25A30		solute carrier family 25 member 30	kidney mitochondrial carrier protein 1		1	NC_011462.1	57633081	57645654	minus	10		
59729	Taeniopygia guttata	100230114	0	live	KCNK18		potassium two pore domain channel subfamily K member 18	LOW QUALITY PROTEIN: potassium channel subfamily K member 18|potassium channel, subfamily K, member 18		6	NC_011470.1	29255594	29274342	plus	5		
59729	Taeniopygia guttata	100230112	0	live	CDH8		cadherin 8	cadherin-8		11	NC_011475.1	17123542	17284352	plus	12		
59729	Taeniopygia guttata	100230111	0	live	ATE1		arginyltransferase 1	arginyl-tRNA--protein transferase 1		6	NC_011470.1	31483267	31551798	minus	11		
59729	Taeniopygia guttata	100230109	0	live	GFI1B		growth factor independent 1B transcriptional repressor	LOW QUALITY PROTEIN: zinc finger protein Gfi-1b		17	NC_011481.1	7544749	7558920	plus	9		
59729	Taeniopygia guttata	100230107	0	live	EEF1AKMT2	METTL10	EEF1A lysine methyltransferase 2	protein-lysine N-methyltransferase METTL10|methyltransferase like 10		6	NC_011470.1	32839653	32846796	minus	6		
59729	Taeniopygia guttata	100230105	0	live	WBP11		WW domain binding protein 11	WW domain-binding protein 11		1A	NC_011463.1	47426276	47435899	plus	11		
59729	Taeniopygia guttata	100230097	0	live	CRYAB		crystallin alpha B	alpha-crystallin B chain		24	NC_011488.1	1639548	1642930	plus	3		
59729	Taeniopygia guttata	100230095	0	live	REEP1		receptor accessory protein 1	receptor expression-enhancing protein 1		4	NC_011467.1	65710912	65776572	minus	7		
59729	Taeniopygia guttata	100230093	0	live	POLR3H		RNA polymerase III subunit H	DNA-directed RNA polymerase III subunit RPC8|polymerase (RNA) III (DNA directed) polypeptide H (22.9kD)		1A	NC_011463.1	49062995	49069322	plus	6		
59729	Taeniopygia guttata	100230092	0	live	UBOX5		U-box domain containing 5	RING finger protein 37		4	NC_011467.1	69084628	69097185	minus	4		
59729	Taeniopygia guttata	100230091	0	live	TNFRSF19		TNF receptor superfamily member 19	tumor necrosis factor receptor superfamily member 19		1	NC_011462.1	47634386	47689042	plus	10		
59729	Taeniopygia guttata	100230090	0	live	RAC2		Rac family small GTPase 2	ras-related C3 botulinum toxin substrate 2|ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)		1A	NC_011463.1	51236842	51245889	plus	7		
59729	Taeniopygia guttata	100230089	0	live	STT3A		STT3A, catalytic subunit of the oligosaccharyltransferase complex	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A|STT3, subunit of the oligosaccharyltransferase complex, homolog A|integral membrane protein 1		24	NC_011488.1	7546274	7554508	minus	20		
59729	Taeniopygia guttata	100230088	0	live	SLC25A15		solute carrier family 25 member 15	mitochondrial ornithine transporter 1		1	NC_011462.1	54798724	54808766	plus	6		
59729	Taeniopygia guttata	100230087	0	live	SYCP3		synaptonemal complex protein 3	synaptonemal complex protein 3		1A	NC_011463.1	55484604	55491733	plus	6		
59729	Taeniopygia guttata	100230086	0	live	ATP12A		ATPase H+/K+ transporting non-gastric alpha2 subunit	potassium-transporting ATPase alpha chain 2		24	NC_011488.1	5258163	5277243	plus	22		
59729	Taeniopygia guttata	100230085	0	live	PCDH9		protocadherin 9	protocadherin-9		1	NC_011462.1	65243617	65917108	minus	5		
59729	Taeniopygia guttata	100230084	0	live	PUS3		pseudouridylate synthase 3	tRNA pseudouridine(38/39) synthase		24	NC_011488.1	7449853	7456370	minus	5		
59729	Taeniopygia guttata	100230082	0	live	SEPT2		septin 2	septin-2|septin-2-like		9	NC_011473.1	4734804	4753842	minus	12		
59729	Taeniopygia guttata	100230079	0	live	SDHA		succinate dehydrogenase complex flavoprotein subunit A	succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial		2	NC_011465.1	90803238	90819851	minus	15		
59729	Taeniopygia guttata	100230078	0	live	MTERF2	MTERFD3	mitochondrial transcription termination factor 2	transcription termination factor 2, mitochondrial|MTERF domain containing 3		1A	NC_011463.1	53538952	53540217	plus	1		
59729	Taeniopygia guttata	100230076	0	live	UBXN7	RNF168	UBX domain protein 7	UBX domain-containing protein 7|UBX domain containing 7|ring finger protein 168, E3 ubiquitin protein ligase		9	NC_011473.1	4304464	4335930	plus	17		
59729	Taeniopygia guttata	100230075	0	live	CZH9orf85		chromosome Z open reading frame, human C9orf85	uncharacterized protein C9orf85 homolog		Z	NC_011493.1	16452303	16466161	minus	4		
59729	Taeniopygia guttata	100230074	0	live	CLPTM1L		CLPTM1 like	cleft lip and palate transmembrane protein 1-like protein		2	NC_011465.1	90927636	90953272	minus	17		
59729	Taeniopygia guttata	100230073	0	live	AJM1	C17H9orf172	apical junction component 1 homolog	uncharacterized protein C9orf172 homolog		17	NC_011481.1	320136	323276	minus	2		
59729	Taeniopygia guttata	100230072	0	live	RIPOR2	FAM65B	RHO family interacting cell polarization regulator 2	LOW QUALITY PROTEIN: protein FAM65B|family with sequence similarity 65 member B		2	NC_011465.1	95506678	95558674	plus	23		
59729	Taeniopygia guttata	100230071	0	live	ETFBKMT		electron transfer flavoprotein beta subunit lysine methyltransferase	protein N-lysine methyltransferase METTL20		1A	NC_011463.1	56861740	56866552	plus	3		
59729	Taeniopygia guttata	100230070	0	live	NSMF		NMDA receptor synaptonuclear signaling and neuronal migration factor	NMDA receptor synaptonuclear signaling and neuronal migration factor		17	NC_011481.1	1573753	1624222	plus	16		
59729	Taeniopygia guttata	100230069	0	live	CALHM5	FAM26E	calcium homeostasis modulator family member 5	protein FAM26E|family with sequence similarity 26 member E		3	NC_011466.1	65980201	65984997	minus	3		
59729	Taeniopygia guttata	100230066	0	live	SET		SET nuclear proto-oncogene	protein SET|SET nuclear oncogene|SET translocation (myeloid leukemia-associated)		17	NC_011481.1	5740839	5754361	plus	9		
59729	Taeniopygia guttata	100230065	0	live	FUT9		fucosyltransferase 9	LOW QUALITY PROTEIN: alpha-(1,3)-fucosyltransferase 9		3	NC_011466.1	75212983	75214063	minus	1		
59729	Taeniopygia guttata	100230063	0	live	BRD3		bromodomain containing 3	bromodomain-containing protein 3		17	NC_011481.1	8087122	8139473	minus	13		
59729	Taeniopygia guttata	100230062	0	live	CYSLTR2		cysteinyl leukotriene receptor 2	cysteinyl leukotriene receptor 2		1	NC_011462.1	56465671	56466615	minus	1		
59729	Taeniopygia guttata	100230061	0	live	ZNF516		zinc finger protein 516	zinc finger protein 516		2	NC_011465.1	96223374	96280479	plus	5		
59729	Taeniopygia guttata	100230060	0	live	TOR2A		torsin family 2 member A	prosalusin		17	NC_011481.1	5434225	5438291	plus	4		
59729	Taeniopygia guttata	100230059	0	live	HSF2		heat shock transcription factor 2	heat shock factor protein 2		3	NC_011466.1	63576062	63591827	minus	13		
59729	Taeniopygia guttata	100230058	0	live	DNAJC15		DnaJ heat shock protein family (Hsp40) member C15	dnaJ homolog subfamily C member 15		1	NC_011462.1	58716266	58736792	minus	6		
59729	Taeniopygia guttata	100230057	0	live	NUP188		nucleoporin 188	nucleoporin NUP188 homolog		17	NC_011481.1	5880918	5906888	plus	44		
59729	Taeniopygia guttata	100230056	0	live	CALHM4	FAM26D	calcium homeostasis modulator family member 4	protein FAM26D|family with sequence similarity 26 member D		3	NC_011466.1	65962702	65964189	minus	2		
59729	Taeniopygia guttata	100230055	0	live	NUDT19		nudix hydrolase 19	nucleoside diphosphate-linked moiety X motif 19, mitochondrial		11	NC_011475.1	16211227	16220524	plus	4		
59729	Taeniopygia guttata	100230054	0	live	IKZF5		IKAROS family zinc finger 5	zinc finger protein Pegasus		6	NC_011470.1	31991383	32000755	minus	6		
59729	Taeniopygia guttata	100230052	0	live	MFSD4B		major facilitator superfamily domain containing 4B	sodium-dependent glucose transporter 1		3	NC_011466.1	68399303	68403363	minus	3		
59729	Taeniopygia guttata	100230047	0	live	LSM14A		LSM14A, mRNA processing body assembly factor	protein LSM14 homolog A|LSM14 homolog A		11	NC_011475.1	19357551	19376984	plus	9		
59729	Taeniopygia guttata	100230046	0	live	METAP2		methionyl aminopeptidase 2	methionine aminopeptidase 2		1A	NC_011463.1	44863906	44881275	plus	11		
59729	Taeniopygia guttata	100230044	0	live	BEND3		BEN domain containing 3	BEN domain-containing protein 3		3	NC_011466.1	70257265	70265351	plus	2		
59729	Taeniopygia guttata	100230042	0	live	CMTM4		CKLF like MARVEL transmembrane domain containing 4	CKLF-like MARVEL transmembrane domain-containing protein 4		11	NC_011475.1	20005828	20034961	plus	4		
59729	Taeniopygia guttata	100230041	0	live	POU4F1		POU class 4 homeobox 1	LOW QUALITY PROTEIN: POU domain, class 4, transcription factor 1		1	NC_011462.1	70861881	70863823	minus	3		
59729	Taeniopygia guttata	100230038	0	live	EIF3M		eukaryotic translation initiation factor 3 subunit M	eukaryotic translation initiation factor 3 subunit M|B5 receptor		5	NC_011469.1	3363442	3377430	plus	10		
59729	Taeniopygia guttata	100230036	0	live	ROBO1		roundabout guidance receptor 1	roundabout homolog 1		1	NC_011462.1	106953619	107213227	plus	27		
59729	Taeniopygia guttata	100230034	0	live	KLHL26		kelch like family member 26	LOW QUALITY PROTEIN: kelch-like protein 26|kelch-like 26		28	NC_011492.1	4851910	4857464	plus	2		
59729	Taeniopygia guttata	100230033	0	live	FAM83H		family with sequence similarity 83 member H	protein FAM83H		2	NC_011465.1	156194157	156201531	minus	4		
59729	Taeniopygia guttata	100230032	0	live	TMEM97		transmembrane protein 97	transmembrane protein 97		19	NC_011483.1	11026992	11030056	plus	3		
59729	Taeniopygia guttata	100230031	0	live	GATA4		GATA binding protein 4	transcription factor GATA-4		3	NC_011466.1	110915710	110939897	minus	6		
59729	Taeniopygia guttata	100230030	0	live	CERS1		ceramide synthase 1	LOW QUALITY PROTEIN: ceramide synthase 1		28							
59729	Taeniopygia guttata	100230028	0	live	UBE2G1		ubiquitin conjugating enzyme E2 G1	ubiquitin-conjugating enzyme E2 G1|ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, yeast)		19	NC_011483.1	4023313	4049525	plus	6		
59729	Taeniopygia guttata	100230027	0	live	FLRT3		fibronectin leucine rich transmembrane protein 3	leucine-rich repeat transmembrane protein FLRT3		3	NC_011466.1	4932522	4938076	plus	2		
59729	Taeniopygia guttata	100230024	0	live	GTF3C2		general transcription factor IIIC subunit 2	general transcription factor 3C polypeptide 2|general transcription factor 3C polypeptide 2-like		3							
59729	Taeniopygia guttata	100230022	0	live	KLF7		Kruppel like factor 7	Krueppel-like factor 7		7	NC_011471.1	21153005	21211260	minus	4		
59729	Taeniopygia guttata	100230019	0	live	KIF16B		kinesin family member 16B	kinesin-like protein KIF16B		3	NC_011466.1	3965006	4114150	plus	27		
59729	Taeniopygia guttata	100230017	0	live	SLC46A1		solute carrier family 46 member 1	LOW QUALITY PROTEIN: proton-coupled folate transporter		19	NC_011483.1	7010418	7017951	minus	5		
59729	Taeniopygia guttata	100230016	0	live	CAV3		caveolin 3	caveolin-3		12	NC_011476.1	20968795	20971851	plus	2		
59729	Taeniopygia guttata	100230015	0	live	HOXC9		homeobox C9	homeobox protein Hox-C9		Un							
59729	Taeniopygia guttata	100230014	0	live	NADK2	NADKD1	NAD kinase 2, mitochondrial	NAD kinase 2, mitochondrial|NAD kinase domain containing 1		Z	NC_011493.1	41686638	41701950	minus	11		
59729	Taeniopygia guttata	100230013	0	live	CFLAR		CASP8 and FADD like apoptosis regulator	CASP8 and FADD-like apoptosis regulator|FLICE-like inhibitory protein		7	NC_011471.1	22119490	22141355	minus	11		
59729	Taeniopygia guttata	100230012	0	live	CORO6		coronin 6	coronin-6		19	NC_011483.1	7495522	7499632	minus	10		
59729	Taeniopygia guttata	100230011	0	live	FRZB		frizzled related protein	secreted frizzled-related protein 3		7	NC_011471.1	28734535	28761821	plus	6		
59729	Taeniopygia guttata	100230010	0	live	GORASP1		golgi reassembly stacking protein 1	Golgi reassembly-stacking protein 1		2	NC_011465.1	5627413	5640454	plus	10		
59729	Taeniopygia guttata	100230008	0	live	SMG8		SMG8, nonsense mediated mRNA decay factor	protein SMG8|smg-8 homolog, nonsense mediated mRNA decay factor		19	NC_011483.1	8793855	8803544	plus	6		
59729	Taeniopygia guttata	100230007	0	live	STBD1		starch binding domain 1	starch-binding domain-containing protein 1		4	NC_011467.1	1940296	1941904	plus	2		
59729	Taeniopygia guttata	100230003	0	live	SNX18		sorting nexin 18	sorting nexin-18		Z	NC_011493.1	46992576	47011053	plus	2		
59729	Taeniopygia guttata	100230002	0	live	KIAA0753		KIAA0753 ortholog	uncharacterized protein KIAA0753 homolog		19	NC_011483.1	11473929	11486412	plus	14		
59729	Taeniopygia guttata	100230000	0	live	UNC80	C2orf21	unc-80 homolog, NALCN channel complex subunit	LOW QUALITY PROTEIN: protein unc-80 homolog|unc-80 homolog, NALCN activator		7	NC_011471.1	29045899	29175753	plus	67		
59729	Taeniopygia guttata	100229999	0	live	VIPR2		vasoactive intestinal peptide receptor 2	vasoactive intestinal polypeptide receptor 2		2	NC_011465.1	10710384	10753808	minus	12		
59729	Taeniopygia guttata	100229998	0	live	CDX1		caudal type homeobox 1	homeobox protein CDX-1		13	NC_011477.1	6895426	6910102	minus	4		
59729	Taeniopygia guttata	100229997	0	live	SLC35F5		solute carrier family 35 member F5	solute carrier family 35 member F5		7	NC_011471.1	32158693	32177772	plus	16		
59729	Taeniopygia guttata	100229996	0	live	AFAP1L1		actin filament associated protein 1 like 1	actin filament-associated protein 1-like 1		13	NC_011477.1	1678861	1693603	minus	21		
59729	Taeniopygia guttata	100229995	0	live	NT5C3B	NT5C3L	5'-nucleotidase, cytosolic IIIB	LOW QUALITY PROTEIN: 7-methylguanosine phosphate-specific 5'-nucleotidase		27							
59729	Taeniopygia guttata	100229994	0	live	GRK6		G protein-coupled receptor kinase 6	LOW QUALITY PROTEIN: G protein-coupled receptor kinase 6		13	NC_011477.1	3416358	3427678	plus	16		
59729	Taeniopygia guttata	100229993	0	live	FRMPD3		FERM and PDZ domain containing 3	FERM and PDZ domain-containing protein 3		4A	NC_011468.1	19456479	19523038	plus	18		
59729	Taeniopygia guttata	100229992	0	live	TJP3		tight junction protein 3	LOW QUALITY PROTEIN: tight junction protein ZO-3		28	NC_011492.1	823858	830739	minus	19		
59729	Taeniopygia guttata	100229991	0	live	GM2A		GM2 ganglioside activator	ganglioside GM2 activator		13	NC_011477.1	6591074	6595075	minus	4		
59729	Taeniopygia guttata	100229990	0	live	CHERP		calcium homeostasis endoplasmic reticulum protein	calcium homeostasis endoplasmic reticulum protein		28	NC_011492.1	3100407	3113646	plus	18		
59729	Taeniopygia guttata	100229989	0	live	RUFY1		RUN and FYVE domain containing 1	RUN and FYVE domain-containing protein 1		13	NC_011477.1	7379147	7397967	minus	19		
59729	Taeniopygia guttata	100229988	0	live	ZAP70		zeta-chain (TCR) associated protein kinase 70kDa	tyrosine-protein kinase ZAP-70		28	NC_011492.1	1894705	1909049	minus	13		
59729	Taeniopygia guttata	100229986	0	live	SLC35E1		solute carrier family 35 member E1	solute carrier family 35 member E1		28	NC_011492.1	2606582	2610243	plus	5		
59729	Taeniopygia guttata	100229983	0	live	FKBP6		FK506 binding protein 6	inactive peptidyl-prolyl cis-trans isomerase FKBP6		19	NC_011483.1	220537	229092	minus	7		
59729	Taeniopygia guttata	100229982	0	live	UBXN6		UBX domain protein 6	UBX domain-containing protein 6		28	NC_011492.1	3925056	3930904	plus	11		
59729	Taeniopygia guttata	100229981	0	live	RCSD1		RCSD domain containing 1	capZ-interacting protein|protein kinase substrate MK2S4		1	NC_011462.1	102379331	102408837	minus	8		
59729	Taeniopygia guttata	100229980	0	live	OLFML1		olfactomedin like 1	olfactomedin-like protein 1		5	NC_011469.1	4559929	4567185	plus	3		
59729	Taeniopygia guttata	100229979	0	live	MIS12		MIS12, kinetochore complex component	protein MIS12 homolog|MIS12, MIND kinetochore complex component, homolog		19	NC_011483.1	4394772	4395439	minus	1		
59729	Taeniopygia guttata	100229977	0	live	PSCA		prostate stem cell antigen	prostate stem cell antigen		2	NC_011465.1	155363465	155367336	plus	3		
59729	Taeniopygia guttata	100229976	0	live	YWHAE		tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	14-3-3 protein epsilon|tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide		19	NC_011483.1	6503634	6523942	plus	6		
59729	Taeniopygia guttata	100229974	0	live	USP25		ubiquitin specific peptidase 25	ubiquitin carboxyl-terminal hydrolase 25		1	NC_011462.1	109256740	109346505	plus	26		
59729	Taeniopygia guttata	100229972	0	live	BCAS3		BCAS3, microtubule associated cell migration factor	breast carcinoma-amplified sequence 3		19	NC_011483.1	9325953	9625449	minus	24		
59729	Taeniopygia guttata	100229971	0	live	GATAD2A		GATA zinc finger domain containing 2A	transcriptional repressor p66-alpha		28							
59729	Taeniopygia guttata	100229969	0	live	RP1L1		RP1 like 1	retinitis pigmentosa 1-like 1 protein|retinitis pigmentosa 1 like 1		3	NC_011466.1	111558335	111590381	plus	11		
59729	Taeniopygia guttata	100229963	0	live	RPP25L		ribonuclease P/MRP subunit p25 like	ribonuclease P protein subunit p25-like protein		Z	NC_011493.1	38518244	38520502	minus	2		
59729	Taeniopygia guttata	100229961	0	live	SATB2		SATB homeobox 2	DNA-binding protein SATB2|special AT-rich sequence binding protein 2		7	NC_011471.1	22586241	22723384	plus	15		
59729	Taeniopygia guttata	100229959	0	live	NEK8		NIMA related kinase 8	serine/threonine-protein kinase Nek8		19	NC_011483.1	7190061	7205503	plus	16		
59729	Taeniopygia guttata	100229958	0	live	GDNF		glial cell derived neurotrophic factor	glial cell line-derived neurotrophic factor		Z	NC_011493.1	42393712	42409055	minus	2		
59729	Taeniopygia guttata	100229957	0	live	NXN		nucleoredoxin	nucleoredoxin		19	NC_011483.1	8395189	8434130	plus	6		
59729	Taeniopygia guttata	100229956	0	live	RBM39		RNA binding motif protein 39	RNA-binding protein 39		20	NC_011484.1	235646	265700	minus	17		
59729	Taeniopygia guttata	100229955	0	live	CXCR4		C-X-C motif chemokine receptor 4	C-X-C chemokine receptor type 4		7	NC_011471.1	33342295	33345628	minus	2		
59729	Taeniopygia guttata	100229947	0	live	PFKP		phosphofructokinase, platelet	ATP-dependent 6-phosphofructokinase, platelet type		2	NC_011465.1	12704064	12751412	plus	24		
59729	Taeniopygia guttata	100229946	0	live	KPNB1		karyopherin subunit beta 1	LOW QUALITY PROTEIN: importin subunit beta-1		27	NC_011491.1	4408446	4430279	plus	19		
59729	Taeniopygia guttata	100229945	0	live	MARCO		macrophage receptor with collagenous structure	LOW QUALITY PROTEIN: macrophage receptor MARCO		7	NC_011471.1	30565972	30579875	minus	15		
59729	Taeniopygia guttata	100229943	0	live	YIPF5		Yip1 domain family member 5	protein YIPF5		13	NC_011477.1	644684	649908	plus	4		
59729	Taeniopygia guttata	100229941	0	live	LCT		lactase	lactase-phlorizin hydrolase		7	NC_011471.1	33229355	33245590	minus	17		
59729	Taeniopygia guttata	100229939	0	live	ELAVL1		ELAV like RNA binding protein 1	ELAV-like protein 1|ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)		28	NC_011492.1	717885	762069	minus	6		
59729	Taeniopygia guttata	100229938	0	live	SNX12		sorting nexin 12	sorting nexin-12		4A	NC_011468.1	20082942	20086487	plus	5		
59729	Taeniopygia guttata	100229937	0	live	UNC5A		unc-5 netrin receptor A	LOW QUALITY PROTEIN: netrin receptor UNC5A		13	NC_011477.1	3604338	3610287	minus	15		
59729	Taeniopygia guttata	100229934	0	live	BRCC3		BRCA1/BRCA2-containing complex subunit 3	lys-63-specific deubiquitinase BRCC36		4A	NC_011468.1	19803711	19810005	plus	8		
59729	Taeniopygia guttata	100229933	0	live	FAXDC2	C13H5orf4	fatty acid hydroxylase domain containing 2	fatty acid hydroxylase domain-containing protein 2		13	NC_011477.1	5438258	5453354	plus	11		
59729	Taeniopygia guttata	100229928	0	live	RNF169		ring finger protein 169	E3 ubiquitin-protein ligase RNF169		1	NC_011462.1	97828739	97846603	minus	7		
59729	Taeniopygia guttata	100229924	0	live	RIPOR1	FAM65A	RHO family interacting cell polarization regulator 1	protein FAM65A|family with sequence similarity 65 member A		11	NC_011475.1	4901397	4912564	plus	21		
59729	Taeniopygia guttata	100229923	0	live	GFPT1		glutamine--fructose-6-phosphate transaminase 1	glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1|glucosamine-fructose-6-phosphate aminotransferase		22	NC_011486.1	359254	383121	plus	20		
59729	Taeniopygia guttata	100229919	0	live	AK5		adenylate kinase 5	adenylate kinase isoenzyme 5		8	NC_011472.1	15708341	15818984	minus	16		
59729	Taeniopygia guttata	100229917	0	live	ADGRA2	GPR124	adhesion G protein-coupled receptor A2	LOW QUALITY PROTEIN: G-protein coupled receptor 124|G protein-coupled receptor 124		22	NC_011486.1	2709813	2720191	plus	19		
59729	Taeniopygia guttata	100229916	0	live	GPBP1L1		GC-rich promoter binding protein 1 like 1	vasculin-like protein 1		8	NC_011472.1	18234751	18252220	minus	11		
59729	Taeniopygia guttata	100229915	0	live	DRC3		dynein regulatory complex subunit 3	leucine-rich repeat-containing protein 48		14	NC_011478.1	10408980	10424277	minus	11		
59729	Taeniopygia guttata	100229912	0	live	RASL11B		RAS like family 11 member B	ras-like protein family member 11B		4	NC_011467.1	44380715	44400782	minus	5		
59729	Taeniopygia guttata	100229911	0	live	PRKAR1B		protein kinase cAMP-dependent type I regulatory subunit beta	cAMP-dependent protein kinase type I-beta regulatory subunit		14	NC_011478.1	13784550	13874954	plus	10		
59729	Taeniopygia guttata	100229910	0	live	NEDD9		neural precursor cell expressed, developmentally down-regulated 9	enhancer of filamentation 1		2	NC_011465.1	68500612	68536416	minus	7		
59729	Taeniopygia guttata	100229908	0	live	CMPK1		cytidine/uridine monophosphate kinase 1	UMP-CMP kinase		8	NC_011472.1	19186793	19201363	plus	6		
59729	Taeniopygia guttata	100229907	0	live	KIF13A		kinesin family member 13A	kinesin-like protein KIF13A		2	NC_011465.1	71309967	71397228	minus	37		
59729	Taeniopygia guttata	100229906	0	live	UNCX		UNC homeobox	homeobox protein unc-4 homolog		14	NC_011478.1	13286993	13456102	minus	4		
59729	Taeniopygia guttata	100229905	0	live	RPS6KA2		ribosomal protein S6 kinase A2	ribosomal protein S6 kinase alpha-2		3	NC_011466.1	39832484	39990628	minus	21		
